latitude,longitude
-37.4269,142.4574
-37.4269,142.4574
-37.4263,142.4577
-37.4269,142.4574
-37.4259,142.4584
-37.4224,142.459
-37.4224,142.4587
-37.4228,142.4581
-37.4236,142.4578
-37.4244,142.4577
-37.3567,142.4958
-37.3589,142.4942
-37.3575,142.4947
-37.3557,142.4965
-37.3559,142.4965
-37.3564,142.4959
-37.3567,142.4958
-37.4907,142.4004
-37.4906,142.3999
-37.4908,142.3994
-37.4908,142.3994
-37.572,142.3645
-37.5718,142.365
-37.5716,142.3652
-37.5714,142.3656
-37.5709,142.3666
-37.5696,142.3671
-37.5679,142.3673
-37.5676,142.3673
-37.5926,142.3565
-37.5925,142.3564
-37.5923,142.3565
-37.5923,142.3565
-37.1606,142.5147
-37.1609,142.5138
-37.1613,142.5135
-37.1633,142.5121
-37.3086,142.5984
-37.3077,142.5993
-37.306,142.6004
-37.3051,142.6009
-37.2963,142.6042
-37.2958,142.6034
-37.2956,142.6031
-37.2951,142.6027
-37.0711,142.4971
-37.0762,142.4995
-37.0816,142.502
-37.0857,142.5027
-37.1515,142.4398
-37.1511,142.4396
-37.1615,142.4436
-37.1779,142.3963
-37.1773,142.3952
-37.1776,142.3949
-36.8925,142.3818
-36.8918,142.3829
-36.8918,142.3829
-36.891,142.3831
-36.8898,142.3831
-37.3001,142.4833
-37.3,142.4829
-37.2997,142.4824
-37.2996,142.4817
-37.2802,142.4936
-37.2802,142.4943
-37.2802,142.4931
-37.2801,142.4926
-37.2737,142.5012
-37.2738,142.5006
-37.2738,142.5001
-37.2737,142.4991
-37.2739,142.498
-37.2738,142.497
-37.2739,142.4954
-37.2739,142.4944
-37.1846,142.4145
-37.184,142.4142
-37.1835,142.414
-37.1829,142.4141
-37.1823,142.4138
-37.1817,142.4132
-37.1814,142.4127
-37.1812,142.4127
-37.1803,142.4125
-37.1798,142.4122
-37.2089,142.4276
-37.2094,142.4266
-37.2097,142.4267
-37.2092,142.4261
-37.2089,142.4246
-37.2089,142.4241
-37.209,142.4237
-37.2086,142.4232
-37.2572,142.4237
-37.2574,142.4231
-37.2581,142.4223
-37.2586,142.4211
-37.259,142.4205
-37.2592,142.4197
-37.2591,142.4186
-37.2531,142.4607
-37.2533,142.4604
-37.2533,142.4604
-37.2536,142.4593
-37.2536,142.4619
-37.254,142.4619
-37.2543,142.462
-37.2547,142.4621
-37.2537,142.4624
-37.2535,142.4627
-37.2537,142.4632
-37.2536,142.4637
-37.3285,142.5191
-37.3286,142.5195
-37.3288,142.5199
-37.329,142.5204
-37.3292,142.5208
-37.3293,142.5213
-37.3296,142.5216
-37.3298,142.5219
-37.3299,142.5224
-37.3299,142.5227
-37.33,142.523
-37.3302,142.5233
-37.3303,142.5237
-37.3304,142.5242
-37.3307,142.5247
-37.3281,142.5183
-37.328,142.518
-37.3279,142.5177
-37.3279,142.5177
-37.3276,142.5169
-37.3273,142.5166
-37.3273,142.5166
-37.1973,142.5417
-37.1976,142.5413
-37.1979,142.541
-37.1979,142.541
-37.1979,142.541
-36.926,142.4257
-36.9261,142.4263
-36.9256,142.4262
-36.9254,142.4266
-36.925,142.4272
-36.9246,142.4277
-36.9246,142.4277
-37.014,142.4855
-37.0137,142.4852
-37.0134,142.4852
-37.0134,142.4858
-37.0132,142.4859
-37.0132,142.4859
-37.2136,142.4346
-37.2136,142.4341
-37.2138,142.4338
-37.2138,142.4338
-37.214,142.4329
-37.2145,142.4321
-37.2149,142.4315
-37.2154,142.4311
-37.2161,142.4308
-37.2164,142.4306
-37.2173,142.4307
-37.2319,142.4053
-37.232,142.4058
-37.2322,142.4066
-37.2324,142.4075
-37.2324,142.4083
-37.2324,142.4083
-37.3102,142.3772
-37.31,142.3766
-37.31,142.3766
-37.3096,142.3756
-37.3096,142.375
-37.3096,142.375
-37.3096,142.375
-37.3091,142.3737
-37.3089,142.3733
-37.3087,142.3724
-37.3085,142.3715
-37.3085,142.3715
-37.308,142.3709
-37.2045,142.4164
-37.2043,142.4173
-37.2054,142.4178
-37.2058,142.4179
-37.2065,142.4185
-37.3019,142.3964
-37.3016,142.3967
-37.301,142.3972
-37.3009,142.3978
-37.3006,142.3976
-37.3002,142.3977
-37.2998,142.3972
-37.2992,142.3972
-37.21,142.5445
-37.2098,142.5438
-37.2096,142.5436
-37.2089,142.5432
-37.2086,142.5425
-37.2079,142.5417
-37.2072,142.5411
-37.2931,142.3304
-37.17,142.3723
-37.1701,142.3715
-37.17,142.3709
-37.1699,142.3703
-37.1701,142.3696
-37.2582,142.5355
-37.2577,142.5347
-37.2578,142.5341
-37.2578,142.5337
-37.2583,142.5334
-37.2587,142.5326
-36.8855,142.3688
-36.8852,142.369
-36.8846,142.3695
-36.8845,142.3701
-36.8847,142.3708
-36.8848,142.3716
-36.8852,142.3722
-36.8858,142.3726
-36.8864,142.3731
-36.8872,142.373
-36.8883,142.3734
-36.8892,142.3729
-37.3475,142.5022
-37.3473,142.5003
-37.3474,142.5004
-37.3473,142.5008
-37.3472,142.5013
-37.3471,142.5016
-37.3471,142.5017
-37.3471,142.5019
-37.347,142.5023
-37.3469,142.5026
-37.3468,142.5031
-37.3467,142.5035
-37.3465,142.504
-37.3466,142.5045
-37.3003,142.5288
-37.3006,142.5284
-37.301,142.5283
-37.3013,142.5277
-37.2916,142.3295
-37.2914,142.3296
-37.291,142.3297
-37.2911,142.3295
-37.2911,142.3295
-37.2911,142.3295
-37.2938,142.3336
-37.3091,142.3038
-37.3086,142.3035
-37.3083,142.3032
-37.3083,142.3032
-36.8983,142.3883
-36.8988,142.388
-36.8996,142.388
-36.9001,142.3872
-36.9001,142.3872
-36.9007,142.3863
-36.9,142.3862
-36.8998,142.3855
-36.8991,142.3853
-36.8976,142.3854
-36.8953,142.3837
-36.8953,142.3837
-36.8953,142.3837
-36.8946,142.3827
-36.9254,142.4123
-36.9259,142.4115
-36.9264,142.4112
-36.9261,142.4109
-36.9262,142.41
-37.1999,142.4739
-37.2005,142.478
-37.1868,142.4772
-37.187,142.4757
-37.1871,142.4751
-37.1867,142.4749
-37.1861,142.4779
-37.1956,142.5045
-37.1934,142.5037
-37.1925,142.5038
-37.1882,142.4981
-37.1851,142.4895
-37.5901,142.3598
-37.5903,142.3599
-37.5897,142.3595
-37.5888,142.3592
-37.5888,142.3592
-37.5888,142.3592
-37.5668,142.3651
-37.5666,142.3643
-37.566,142.3624
-37.5656,142.3604
-37.5009,142.415
-37.5009,142.4134
-37.5009,142.4121
-37.5005,142.4109
-37.4999,142.4092
-37.4277,142.46
-37.4321,142.4605
-37.4331,142.4592
-37.4361,142.4593
-37.4361,142.4593
-37.4361,142.4593
-37.3555,142.4966
-37.3556,142.4965
-37.3558,142.4964
-37.3559,142.4965
-37.356,142.4964
-37.3564,142.496
-37.3569,142.4957
-37.3573,142.4952
-37.3389,142.488
-37.3393,142.4877
-37.34,142.4877
-37.3405,142.4873
-37.3412,142.4871
-37.3412,142.4871
-37.3196,142.4793
-37.3202,142.4794
-37.3208,142.4795
-37.3213,142.479
-37.319,142.4791
-37.3001,142.4827
-37.297,142.4835
-37.2964,142.4836
-37.2948,142.484
-37.2469,142.4759
-37.2457,142.475
-37.2444,142.474
-37.2444,142.474
-37.2444,142.474
-37.1919,142.4209
-37.1919,142.4209
-37.1921,142.4207
-37.193,142.4213
-37.1933,142.4209
-37.1515,142.4456
-37.1515,142.4456
-37.1518,142.4468
-37.1518,142.4468
-37.1518,142.4468
-37.2428,142.3458
-37.1524,142.5051
-37.1531,142.5064
-37.1531,142.5064
-37.1517,142.5045
-37.1779,142.4113
-37.3032,142.4409
-37.332,142.4686
-37.3203,142.4531
-37.2942,142.4351
-37.2827,142.4167
-37.2888,142.4016
-37.2731,142.4269
-37.277,142.4371
-37.237,142.4497
-37.1893,142.4183
-37.1769,142.3943
-37.177,142.4794
-37.1835,142.5085
-37.2593,142.5533
-37.197,142.5065
-37.1931,142.504
-37.1908,142.503
-37.1887,142.5
-37.186,142.4917
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1851,142.4895
-37.1446,142.4419
-37.1119,142.4156
-37.1265,142.4166
-37.1275,142.3666
-37.1524,142.3819
-37.1524,142.3819
-37.1545,142.3869
-37.1575,142.3895
-37.172,142.4167
-37.1737,142.4183
-37.3468,142.4737
-37.3421,142.4715
-37.3201,142.453
-37.3178,142.45
-37.2817,142.4109
-37.2731,142.4269
-37.2731,142.4269
-37.2638,142.4594
-37.2588,142.4557
-37.2498,142.4559
-37.2414,142.4507
-37.2414,142.4507
-37.2138,142.4304
-37.1826,142.3731
-37.1832,142.3661
-37.1948,142.3457
-37.1733,142.3398
-37.1714,142.3433
-37.1706,142.3517
-37.1748,142.3609
-37.1783,142.3683
-37.3735,142.5086
-37.3726,142.5164
-37.3729,142.5282
-37.3802,142.5472
-37.3644,142.5731
-37.3576,142.6009
-37.3578,142.6048
-37.3578,142.6084
-37.3528,142.6086
-37.3457,142.6295
-37.346,142.6335
-37.34,142.6451
-37.276878,142.344792
-37.42537,142.44925
-37.42483,142.43985
-37.42813,142.42605
-37.43055,142.42545
-37.4378,142.42523
-37.44115,142.42518
-37.44278,142.42393
-37.44583,142.42203
-37.44802,142.42147
-37.47222,142.4
-37.47837,142.39085
-37.47935,142.3858
-37.258482,142.515423
-37.296628,142.532772
-37.424216,142.449653
-37.426254,142.424668
-37.424744,142.407425
-37.151093,142.444018
-37.168252,142.436665
-37.09009,142.524666
-36.986016,142.477059
-36.956814,142.462485
-36.891487,142.410995
-36.87936,142.384993
-36.889096,142.383137
-36.901251,142.37405
-37.151657,142.503388
-37.173719,142.42479
-37.176142,142.394528
-37.245219,142.41637
-37.261133,142.561584
-37.490724,142.400292
