,intercept,depth__cm,temperature__C,oxidation_reduction_potential__Mv,salinity__ppt,water_crowfoot__Ranunculus,rushes__Juncus_or_Scirpus,filamentous_algae,emergent_grass,ivy_leafed_duckweed__Lemna_trisulca,bulrushes__Typha,reeds_Phragmites,marestail__Hippuris,common_duckweed__Lemna_minor,,,,,
Culex_pipiens_sl,0.528510899,-0.048702706,-0.136088177,-0.013485419,0.115752151,0.073318815,-0.93066796,1.356320867,0.425534159,1.507739973,-0.207943595,0.177622139,-1.318680219,1.317180263,,,,,
Culex_modestus,-1.882918094,-0.051601203,0.002771793,-0.003708194,0.081729831,0.70408178,0.128611231,1.285786496,-0.064884082,2.117604111,0.731966162,-0.627525176,2.168171551,0.159245013,,,,,
Culiseta_annulata,3.36140378,-0.110438806,-0.294116199,-0.028106174,-0.227607368,-2.449708175,-2.514624758,-5.101595636,-12.94272935,-0.054821053,0.911953382,-5.117679435,-12.88640466,-2.211755811,,,,,
Anopheles_maculipennis_sl,0.080481229,-0.021041567,-0.034772279,0.008055218,-0.272595543,0.592169059,-0.162792493,1.758793072,-0.913652835,0.434100166,0.31655435,-0.105442551,0.447320665,-0.594830009,,,,,Ovaskainen 2010 (Mathematica)
waterboatmen__Corixidae,-2.147132326,-0.022625487,0.0958421,-0.003795052,-0.16937858,1.368849141,0.266797709,1.374343033,0.401056741,3.805894738,-2.901790035,0.656650152,0.035006255,0.337793176,,,,,
diving_beetles__Dysticidae,-3.836251855,-0.008186476,0.089208798,-0.010972951,-0.122031086,-0.952601608,-0.163970161,-0.542063474,-12.1797468,-1.410907105,-0.29779902,-0.249791319,-1.054070237,-1.16323152,,,,,
damselflies__Zygoptera,-2.473772537,-0.006379004,0.032620651,0.002872164,-0.005984069,0.865163766,0.746282234,1.422725636,-4.271423895,-1.670876577,0.062493402,-0.147592251,0.993780048,0.525104206,,,,,
swimming_beetles__Haliplidae,-0.2423151,-0.010954016,-0.106230305,0.006462862,-0.120443565,0.728229685,0.642461021,0.518747112,-1.900081727,-20.36500502,-0.792454653,2.101994351,0.184819535,1.774013464,,,,,
opossum_shrimps__Mysidae,-1.195999063,-0.006810772,0.001450524,0.000319536,0.150140331,-2.694551443,-0.255274602,-2.206538897,-0.490409257,-15.074229,-4.930594124,0.133963621,-2.033932939,-1.995188638,,,,,
ditch_shrimp__Gammarus,-4.486952705,-0.030137649,0.159642552,0.015990527,-0.016380158,0.422611649,0.746779816,-1.255118464,1.244799712,-1.600628722,-7.292308105,1.377922003,-15.94994681,1.080081269,,,,,
beetle_larvae__Coleoptera,-12.84466301,-0.074030628,0.430688589,0.007474914,0.025182013,-3.45649504,1.758641097,1.415546274,3.548755057,-9.142621234,1.444618238,-2.229953248,3.091302867,1.928818476,,,,,
dragonflies__Anisoptera,6.107067951,-0.078225726,-0.452244628,-0.008018366,-0.105804589,-5.026872367,-0.422193508,0.650063189,-3.566049315,-0.454589652,-1.830923595,-6.474769719,-10.56052817,1.627533647,,,,,
mayflies__Ephemeroptera,-0.58400358,-0.072764591,-0.004603294,-0.001913953,-0.485096424,0.137697035,1.084069062,1.027001991,-5.552629731,0.864156194,-0.078728139,-0.125052125,0.703644989,-0.396305788,,,,,
newts__Pleurodelinae,-11.72939931,-0.025688184,-0.217097102,-0.007325942,-1.023745528,-13.79715423,12.0558219,3.404507257,1.734184729,-15.23277568,3.131859031,-8.465995361,6.224341928,2.909387726,,,,,
fish,2.571621551,-0.048302554,-0.236205308,0.002513909,-0.292099996,1.062243628,0.762894001,-0.081690642,-5.402012856,-18.4910317,-0.715284882,0.553201938,-0.361236022,-2.998974386,,,,,
saucer_bugs__Ilyocoris,5.034006974,-0.030098024,-0.423256401,0.014986834,-0.543637584,0.182209563,1.910271709,2.989397411,-0.721629125,-5.085014826,-3.82168945,-0.103558548,-14.27048043,2.202171884,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,intercept,depth__cm,temperature__C,oxidation_reduction_potential__Mv,salinity__ppt,water_crowfoot__Ranunculus,rushes__Juncus_or_Scirpus,filamentous_algae,emergent_grass,ivy_leafed_duckweed__Lemna_trisulca,bulrushes__Typha,reeds_Phragmites,marestail__Hippuris,common_duckweed__Lemna_minor,,,,,
Culex_pipiens_sl,-0.85851261,-0.020897875,-0.032918707,-0.017579848,0.014246123,0.180557422,0.007256172,0.511511674,-0.46315637,-0.271462355,0.301347187,0.192155943,-0.147696437,0.413484995,,,,,
Culex_modestus,-0.982805098,-0.044554556,-0.011937229,-0.010241075,0.043859293,0.323055183,0.332747697,0.766896489,-0.667670844,-0.076481679,0.035708863,0.392402671,0.196254838,0.532591311,,,,,Ovaskainen 2010 (Matlab)
Culiseta_annulata,-0.898509278,-0.03345043,-0.135747464,-0.023061547,-0.065780496,0.189274905,0.128453123,0.045635629,-0.603171889,-0.278424219,0.064301469,0.168100871,-0.11663048,0.19437711,,,,,
Anopheles_maculipennis_sl,-1.047390599,-0.017573438,0.015185864,0.000437755,-0.156470188,0.590702789,0.664698613,0.937188098,-0.39423901,-0.292425718,-0.154646118,0.145716086,0.278376763,0.45650208,,,,,
waterboatmen__Corixidae,-1.117187459,-0.018320576,0.083357025,-0.000226375,-0.145115213,0.345211591,0.582487,0.373420474,-0.559814354,-0.189397147,-0.312317615,0.617818001,0.20642139,0.169620131,,,,,
diving_beetles__Dysticidae,-0.968468222,-0.003614702,-0.012834539,-0.003776578,-0.036013982,0.238368518,0.379218359,0.125835138,-0.692421556,-0.235896435,0.231739838,0.267022984,-0.035903977,0.409940184,,,,,
damselflies__Zygoptera,-1.059593281,0.010684343,0.014899419,-0.002445484,-0.031562661,0.632383751,0.599856295,0.635449041,-0.470531396,-0.37043649,-0.311604865,0.015362663,0.37239258,0.290090953,,,,,
swimming_beetles__Haliplidae,-1.125312993,-0.000635023,0.039165912,0.000198636,-0.173390372,0.245271563,0.197538337,0.385997782,-0.594057774,-0.213160923,-0.34946223,0.505514256,-0.177622718,0.390092054,,,,,
opossum_shrimps__Mysidae,-1.072024524,0.016031974,0.025508213,0.013664506,0.019733581,0.068312971,0.067257337,-0.161183406,-0.59828174,-0.349867866,-0.42407021,0.2075958,-0.058566122,-0.032715287,,,,,
ditch_shrimp__Gammarus,-1.120728026,0.002911788,0.023693436,0.009433491,-0.019672879,0.20775529,0.39070033,0.15425061,-0.643608148,-0.329635067,-0.500027602,0.471554031,-0.004576597,0.408778224,,,,,
beetle_larvae__Coleoptera,-1.17441093,-0.113240664,0.048377635,-0.000414169,-0.095649631,0.505974886,0.651893879,0.715957957,-0.304614488,-0.346622884,-0.015114324,0.012392034,0.34710153,0.338814983,,,,,
dragonflies__Anisoptera,-0.992671122,0.000388577,-0.100200424,-0.011343774,-0.04431813,0.42065389,0.51173712,0.342481619,-0.582813333,-0.318530711,-0.100821913,0.010275285,0.024993637,0.415937856,,,,,
mayflies__Ephemeroptera,-1.102590348,-0.022987584,0.057429216,0.001015412,-0.24578105,0.30764636,0.323694898,0.363852363,-0.59902963,-0.080391304,-0.01606202,0.064036058,0.110169635,0.32129681,,,,,
newts__Pleurodelinae,-0.939070851,-0.083508174,-0.045744312,0.000882499,-0.018719629,0.441787303,0.657619099,0.782464113,-0.560443914,-0.279774049,-0.014974716,0.09802063,0.16053905,0.594548546,,,,,
fish,-0.959787797,-0.020433486,-0.035429747,-0.000738625,-0.039713402,0.55620625,0.487282292,0.278482917,-0.644439335,-0.311028355,-0.269074574,0.087835382,0.326014883,0.251625301,,,,,
saucer_bugs__Ilyocoris,-1.116440497,0.000293413,-0.056984029,0.000627559,-0.115768619,0.79477504,0.635022032,0.939564632,-0.464377301,-0.104675731,-0.484679638,0.272293543,0.144793597,0.501705889,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,intercept,depth__cm,temperature__C,oxidation_reduction_potential__Mv,salinity__ppt,water_crowfoot__Ranunculus,rushes__Juncus_or_Scirpus,filamentous_algae,emergent_grass,ivy_leafed_duckweed__Lemna_trisulca,bulrushes__Typha,reeds_Phragmites,marestail__Hippuris,common_duckweed__Lemna_minor,,,,,
Culex_pipiens_sl,-0.755584659,-0.260870768,-0.187490976,-0.43198257,-0.040596497,0.102661989,-0.076661777,0.261320888,-0.077185838,-0.041406841,0.086273915,0.072486778,-0.022352492,0.120559636,,,,,
Culex_modestus,-0.523340131,-0.279073172,-0.029192259,-0.175293281,0.112040008,0.100649013,0.049506977,0.336814286,-0.107586502,-0.010759271,-0.003492171,0.143648533,0.047239069,0.127175218,,,,,Pollock
Culiseta_annulata,-2.609328484,-0.234223516,-0.274514101,-0.548003752,-0.179218924,0.136342145,-0.0338464,-0.154006692,-0.104097917,-0.055750081,0.048114607,0.076138507,-0.009719555,0.136497097,,,,,
Anopheles_maculipennis_sl,-0.597109648,-0.136892391,-0.02604601,0.018187502,-0.148731138,0.117609383,0.169177382,0.461891737,-0.063730494,-0.037829035,-0.05062444,0.074337408,0.041701048,0.110343933,,,,,
waterboatmen__Corixidae,0.27388025,-0.187910195,0.168680063,-0.048692388,-0.312955413,0.120805786,0.218354763,0.191564962,-0.096830045,-0.024864425,-0.097000198,0.258584189,0.048729117,0.115364072,,,,,
diving_beetles__Dysticidae,-0.781833758,-0.107107231,-0.074721576,-0.154234422,-0.120016514,0.106429974,0.13734794,0.009532963,-0.094119822,-0.028444558,0.105119732,0.103566233,0.002923364,0.115168403,,,,,
damselflies__Zygoptera,0.169318716,-0.022217172,-0.020925575,-0.018986368,-0.036284699,0.148024085,0.174221169,0.297403251,-0.07744845,-0.05497962,-0.136163449,0.0387641,0.093299233,0.101256919,,,,,
swimming_beetles__Haliplidae,-0.677684402,-0.049586389,0.102550428,-0.042363068,-0.315747227,0.11075112,0.058693264,0.184882566,-0.086523803,-0.026540007,-0.084467231,0.183479852,-0.034877156,0.131948769,,,,,
opossum_shrimps__Mysidae,-0.550754984,-0.005581122,0.172635511,0.149130222,0.03713325,0.080667886,-0.004362302,-0.566887356,-0.077754124,-0.040200779,-0.260617856,0.151712006,-0.050197189,0.083217584,,,,,
ditch_shrimp__Gammarus,-0.558381205,-0.070883622,0.137696706,0.128538252,-0.012839943,0.115193394,0.107960163,-0.290610038,-0.103080103,-0.053593354,-0.254678793,0.245487275,-0.017386316,0.147021114,,,,,
beetle_larvae__Coleoptera,-1.531961147,-0.355986944,0.335853144,-0.125604965,-0.087672828,0.118782974,0.267003968,0.338447187,-0.065786272,-0.052533548,0.085999432,-0.010062103,0.060874736,0.124023565,,,,,
dragonflies__Anisoptera,-1.853204105,-0.126363664,-0.162217507,-0.358275655,-0.110492999,0.123044393,0.145453394,0.073811507,-0.094394623,-0.044992386,-0.022399235,0.001341308,0.002550488,0.134863849,,,,,
mayflies__Ephemeroptera,-0.982420574,-0.168929801,0.191487322,-0.04369448,-0.457673602,0.133235791,0.135599531,0.187368579,-0.107839036,-0.001648522,0.057050025,0.02570545,0.024807889,0.146633147,,,,,
newts__Pleurodelinae,-2.399458274,-0.333631396,-0.233758959,-0.061676504,-0.087815643,0.133066152,0.229132877,0.441016562,-0.111024148,-0.055385139,-0.042233906,0.039492821,0.022199255,0.158081255,,,,,
fish,-1.511936018,-0.23194748,-0.161457987,-0.048647202,-0.125874719,0.16386775,0.129478262,0.054268538,-0.109373459,-0.049642692,-0.194241067,0.023416976,0.097165909,0.122102738,,,,,
saucer_bugs__Ilyocoris,-1.651406219,-0.054403952,-0.0284721,0.001955791,-0.195822395,0.185740499,0.17792613,0.529589977,-0.096108433,-0.019258613,-0.239235067,0.109057368,0.015926506,0.151598644,,,,,
