"","x"
"Culex_modestus_Culex_pipiens_sl",1830.33806325744
"Culiseta_annulata_Culex_pipiens_sl",577.782357082396
"Culiseta_annulata_Culex_modestus",384.000370734109
"Anopheles_maculipennis_sl_Culex_pipiens_sl",1621.34697525289
"Anopheles_maculipennis_sl_Culex_modestus",2183.19294429179
"Anopheles_maculipennis_sl_Culiseta_annulata",518.914358659514
"waterboatmen__Corixidae_Culex_pipiens_sl",1657.24792334897
"waterboatmen__Corixidae_Culex_modestus",1835.34017681554
"waterboatmen__Corixidae_Culiseta_annulata",973.799413416329
"waterboatmen__Corixidae_Anopheles_maculipennis_sl",2026.91777332207
"diving_beetles__Dysticidae_Culex_pipiens_sl",1444.99606779446
"diving_beetles__Dysticidae_Culex_modestus",2112.59418755091
"diving_beetles__Dysticidae_Culiseta_annulata",638.79998351126
"diving_beetles__Dysticidae_Anopheles_maculipennis_sl",1960.78176830477
"diving_beetles__Dysticidae_waterboatmen__Corixidae",2243.49855866234
"damselflies__Zygoptera_Culex_pipiens_sl",1843.0142606385
"damselflies__Zygoptera_Culex_modestus",2077.35271676512
"damselflies__Zygoptera_Culiseta_annulata",486.268325316616
"damselflies__Zygoptera_Anopheles_maculipennis_sl",2186.90892068037
"damselflies__Zygoptera_waterboatmen__Corixidae",2227.23157277138
"damselflies__Zygoptera_diving_beetles__Dysticidae",1955.67581653347
"swimming_beetles__Haliplidae_Culex_pipiens_sl",1621.57143910405
"swimming_beetles__Haliplidae_Culex_modestus",1801.17516877095
"swimming_beetles__Haliplidae_Culiseta_annulata",559.138034593504
"swimming_beetles__Haliplidae_Anopheles_maculipennis_sl",2016.04583878709
"swimming_beetles__Haliplidae_waterboatmen__Corixidae",2284.51574729066
"swimming_beetles__Haliplidae_diving_beetles__Dysticidae",2290.25033320067
"swimming_beetles__Haliplidae_damselflies__Zygoptera",1926.15296791815
"opossum_shrimps__Mysidae_Culex_pipiens_sl",1302.98126280992
"opossum_shrimps__Mysidae_Culex_modestus",1146.44100973799
"opossum_shrimps__Mysidae_Culiseta_annulata",566.702433972582
"opossum_shrimps__Mysidae_Anopheles_maculipennis_sl",1397.51666106404
"opossum_shrimps__Mysidae_waterboatmen__Corixidae",1741.56822093392
"opossum_shrimps__Mysidae_diving_beetles__Dysticidae",1686.24840023162
"opossum_shrimps__Mysidae_damselflies__Zygoptera",1720.26206472757
"opossum_shrimps__Mysidae_swimming_beetles__Haliplidae",1727.12813454687
"ditch_shrimp__Gammarus_Culex_pipiens_sl",1539.83100262775
"ditch_shrimp__Gammarus_Culex_modestus",1632.9522390048
"ditch_shrimp__Gammarus_Culiseta_annulata",604.939115133198
"ditch_shrimp__Gammarus_Anopheles_maculipennis_sl",1604.11817211656
"ditch_shrimp__Gammarus_waterboatmen__Corixidae",2047.51260997129
"ditch_shrimp__Gammarus_diving_beetles__Dysticidae",2074.09468876796
"ditch_shrimp__Gammarus_damselflies__Zygoptera",1639.62501838414
"ditch_shrimp__Gammarus_swimming_beetles__Haliplidae",1979.62741951547
"ditch_shrimp__Gammarus_opossum_shrimps__Mysidae",2008.54921718412
"beetle_larvae__Coleoptera_Culex_pipiens_sl",1458.57651015457
"beetle_larvae__Coleoptera_Culex_modestus",1483.37244575784
"beetle_larvae__Coleoptera_Culiseta_annulata",598.107626559887
"beetle_larvae__Coleoptera_Anopheles_maculipennis_sl",1410.68907381856
"beetle_larvae__Coleoptera_waterboatmen__Corixidae",1419.05221798552
"beetle_larvae__Coleoptera_diving_beetles__Dysticidae",1484.7369048827
"beetle_larvae__Coleoptera_damselflies__Zygoptera",1094.59810444897
"beetle_larvae__Coleoptera_swimming_beetles__Haliplidae",1408.33299854294
"beetle_larvae__Coleoptera_opossum_shrimps__Mysidae",1032.24206084609
"beetle_larvae__Coleoptera_ditch_shrimp__Gammarus",1051.68739709757
"dragonflies__Anisoptera_Culex_pipiens_sl",953.422623099437
"dragonflies__Anisoptera_Culex_modestus",835.417296000014
"dragonflies__Anisoptera_Culiseta_annulata",928.636965334646
"dragonflies__Anisoptera_Anopheles_maculipennis_sl",766.099135870194
"dragonflies__Anisoptera_waterboatmen__Corixidae",962.627200452997
"dragonflies__Anisoptera_diving_beetles__Dysticidae",1050.83525898242
"dragonflies__Anisoptera_damselflies__Zygoptera",968.716128896406
"dragonflies__Anisoptera_swimming_beetles__Haliplidae",1037.27242627136
"dragonflies__Anisoptera_opossum_shrimps__Mysidae",721.027477729649
"dragonflies__Anisoptera_ditch_shrimp__Gammarus",903.333648378235
"dragonflies__Anisoptera_beetle_larvae__Coleoptera",866.934323158001
"mayflies__Ephemeroptera_Culex_pipiens_sl",1597.29998179407
"mayflies__Ephemeroptera_Culex_modestus",1754.80565537815
"mayflies__Ephemeroptera_Culiseta_annulata",866.457081824059
"mayflies__Ephemeroptera_Anopheles_maculipennis_sl",2214.94454231133
"mayflies__Ephemeroptera_waterboatmen__Corixidae",1965.14913197208
"mayflies__Ephemeroptera_diving_beetles__Dysticidae",2213.17063915601
"mayflies__Ephemeroptera_damselflies__Zygoptera",1925.6587422496
"mayflies__Ephemeroptera_swimming_beetles__Haliplidae",2064.16948925451
"mayflies__Ephemeroptera_opossum_shrimps__Mysidae",1525.83205359661
"mayflies__Ephemeroptera_ditch_shrimp__Gammarus",1549.80683535061
"mayflies__Ephemeroptera_beetle_larvae__Coleoptera",1636.71064442236
"mayflies__Ephemeroptera_dragonflies__Anisoptera",1183.58508248456
"newts__Pleurodelinae_Culex_pipiens_sl",839.68402168868
"newts__Pleurodelinae_Culex_modestus",569.483370762522
"newts__Pleurodelinae_Culiseta_annulata",549.186045423533
"newts__Pleurodelinae_Anopheles_maculipennis_sl",663.596230532811
"newts__Pleurodelinae_waterboatmen__Corixidae",1001.84162928127
"newts__Pleurodelinae_diving_beetles__Dysticidae",957.839325872417
"newts__Pleurodelinae_damselflies__Zygoptera",529.207573935641
"newts__Pleurodelinae_swimming_beetles__Haliplidae",783.284875365871
"newts__Pleurodelinae_opossum_shrimps__Mysidae",693.064137184131
"newts__Pleurodelinae_ditch_shrimp__Gammarus",698.168277847033
"newts__Pleurodelinae_beetle_larvae__Coleoptera",765.566732663744
"newts__Pleurodelinae_dragonflies__Anisoptera",1018.5258468465
"newts__Pleurodelinae_mayflies__Ephemeroptera",614.400549986814
"fish_Culex_pipiens_sl",1216.32522937889
"fish_Culex_modestus",1025.5360018621
"fish_Culiseta_annulata",804.847508567849
"fish_Anopheles_maculipennis_sl",1265.20173961094
"fish_waterboatmen__Corixidae",1216.41793732503
"fish_diving_beetles__Dysticidae",1298.02612639517
"fish_damselflies__Zygoptera",1117.00955150063
"fish_swimming_beetles__Haliplidae",1236.24028440043
"fish_opossum_shrimps__Mysidae",967.009255832501
"fish_ditch_shrimp__Gammarus",1179.36463504841
"fish_beetle_larvae__Coleoptera",1038.57106843181
"fish_dragonflies__Anisoptera",1103.70726118628
"fish_mayflies__Ephemeroptera",1433.23180563917
"fish_newts__Pleurodelinae",881.6529803294
"saucer_bugs__Ilyocoris_Culex_pipiens_sl",1214.39798017574
"saucer_bugs__Ilyocoris_Culex_modestus",823.772682946684
"saucer_bugs__Ilyocoris_Culiseta_annulata",681.850438624493
"saucer_bugs__Ilyocoris_Anopheles_maculipennis_sl",795.726902105267
"saucer_bugs__Ilyocoris_waterboatmen__Corixidae",1382.06880506815
"saucer_bugs__Ilyocoris_diving_beetles__Dysticidae",1204.30003340451
"saucer_bugs__Ilyocoris_damselflies__Zygoptera",979.04411565074
"saucer_bugs__Ilyocoris_swimming_beetles__Haliplidae",1250.38906330092
"saucer_bugs__Ilyocoris_opossum_shrimps__Mysidae",1068.55671523836
"saucer_bugs__Ilyocoris_ditch_shrimp__Gammarus",1266.71951483346
"saucer_bugs__Ilyocoris_beetle_larvae__Coleoptera",1168.7073970893
"saucer_bugs__Ilyocoris_dragonflies__Anisoptera",860.215487870692
"saucer_bugs__Ilyocoris_mayflies__Ephemeroptera",1285.39193423428
"saucer_bugs__Ilyocoris_newts__Pleurodelinae",753.187480473394
"saucer_bugs__Ilyocoris_fish",1005.50678758538
